id,question,answer
1001,什么叫船舶的续航力和自持力与航速有何关系,续航力：一般是指在规定航速或主机功率下，船上一次装足的燃料可供船连续航行的距离。自持力：有时也叫自给力，指船上所带淡水、食品等能在海上维持的天数。
1002,民船空船重量由哪几部分组成载重量由哪些重量组成,"船体钢料重量 Wh，木作舾装重量 Wf 和机电设备重量 Wm 三大部分。
载重量包括货物、旅客及其行李、船员及其行李、燃油、滑油及炉水、食品、淡水、备品及供应品等重量"
1003,船舶的横摇角主要与哪些因素有关,船宽、吃水、初稳性高度、船舶类型和舭龙骨尺寸
1004,民船典型的载况与排水量有哪几种,民船典型的排水量及其载况有：（1）空船排水量：船舶建成后交船时的排水量，此时的排水量就是空船重量。（2）空载排水量：船上不载运货物、旅客及其行李的载况。其相应的载况有空载到港（油水等载重为设计储备量的 10%）、空载出港（油水等载重为设计储备量的 100%）。（3）满载排水量：船上装载了预定的设计载重量的载况称为满载，相应的排水量即为满载排水量（或设计排水量）。其相应的载况有：满载到港（油水等载重为设计储备量的 10%）、满载出港（油水等载重为设计储备量的 100%）。（4）最大排水量：有些载运轻泡货物的货船，为加大载运重货时的载重量以提高其经济性，把吃水设计成可变的，在设计水线之上还加一个设计重载吃水线，结构设计时要满足这种吃水状态对结构强度等的要求，此时的吃水叫做结构吃水。这种典型载况叫做重载，对应的排水量叫做最大排水量，也称重载排水量。
1005,船舶在某一装载情况下的总重量由哪几部分组成,空船重量和相应载况时的载重量之和
1006,客船分舱和破舱稳性常规计算的目的是什么,保证船舶在一舱或数舱破损进水后仍能保持一定的稳态和稳性
1007,船舶的固定压载是指什么在什么情况下需加固定压载,固定压载是固定加在船上的载荷，通常采用生铁块、水泥块和矿渣块，一般在船下水前后放在船底部。
1008,何谓结构吃水,有些载运轻泡货的货船，为加大载运重货时的载重量以提高其经济性，把吃水设计成可变的，在设计吃水线之上还加一载重吃水线，结构设计时要满足这种吃水状态对结构强度等的要求，此时的吃水称为结构吃水。
1009,确定国际航行船舶的最小干舷时，为什么要将海洋划分为若干季节区主要划分为哪些季节区,船舶的安全性与其所在海域的风浪情况关系密切。海区不同其风浪要素不同，则对船舶甲板上浪影响不同。法规根据各海区在一年内各时期的风浪情况，将海洋划分为若干季节区。季节区分为：北大西洋冬季区，冬季区，夏季区，热带区，夏季淡水区，热带淡水区。
1010,何谓船舶的排水量裕度其原因是什么,船舶设计时，在估算的重量中，通常要加一定的排水量储备，也称为排水量裕度。其原因大致有：估算误差、设备增加、采用代用设备和材料。
1011,何谓船舶的吨位、总吨 GT、净吨 NG 其用途有哪些吨位与载重吨一样吗船舶总吨位、净吨位各依据什么进行计算,船舶吨位是指按《国际船舶吨位丈量公约》，或有关船舶管理当局规定的方法核定船舶容积大小的一种度量。船舶吨位有总吨位和净吨位两种。总吨位是依据上甲板以下主船体和上甲板以上永久围蔽处所的总容积计算的。净吨位是按赢利处所，即载货处所和旅客处所的容积计算的。船舶吨位用途有：（1）作为费用支付的基准（2）作为营运管理中划分等级的依据和配置安全设施的衡准（3）作为表示商船建筑规模大小的一种度量。
1012,船舶固定压载的目的,降低船舶的重心以提高稳性；增加船舶重量以加大吃水；必要时用来调整船舶的浮态。
1013,何谓船舶容量、包装货舱容积、散装货舱容积及液体货舱容积,船舶容量是船舶舱室容积和甲板面积的总称。包装货舱容积：装载的货物是包装货。
1014,何谓积载因素、载重型最小干舷船、容积型富裕干舷船、型容积利用系数,"货物的积载因数是每吨货物所需的货舱容积。
载重型最小干舷船 是指重质货物，其积载因数小，对船舶的货舱舱容要求低，对船舶主要要素起控制作用的因素是重量（载重量），其干舷为满足规范要求的最小干舷，而其所对应的型深使船舶具有的货舱舱容能够满足货物对容积的要求。
容积型富裕干舷船是指轻质货物，其积载因数大，对船舶的货舱舱容要求高，船的主要尺度相对也大，此类船的型深要按容积要求来计算。（有效装载容积与其型容积之比）"
1015,设计船舶主体内各舱所需的总型容积包含哪些项目,货舱所需容积 Vc，油水舱所需形容积 Vow，专用压载水舱所需容积 Vb，机舱所需容积 Vm和其他舱所需的型容积 Va.Vh=Vc+Vow+Vb+Vm+Va-Vn(Vn—上甲板以上装货的容积)
1016,何谓船舶的舱容要素曲线有何用途,"舱容要素曲线是指各液体舱的容积和容积形心随液面高度变化的曲线。
舱容要素曲线可用来计算各种载况时液舱装载量和重心位置，是计算浮态与稳性（包括破舱稳性）的基础资料；并可用来制定油水舱“液位容积表”供船员使用。
舱容要素曲线一般利用静力学中求体积及重心的公式，计算出各液面高度下的容积及容积形心，然后，以容积为纵坐标，以容积和容积形心坐标为横坐标，绘制出相应的曲线。"
1017,规定船舶最小干舷的目的是什么船舶最小干舷的大小取决于哪些因素,"所谓最小干舷，对海船来说，就是按照《国际载重线公约》或我国法规中有关载重线的规定计算出的允许装载的最小干舷值。(b)计算船舶最小干舷的目的：船舶的使用实践表明，装载过重，干舷不足，常常是海损事故的一个重要原因。因此，为了保证船舶的安全，就要限制船舶营运过程中的最大吃水，从而提出了最小干舷的要求。（C 船长，船体型线与上层建筑形式，水灌进船主
体内部的可能程度，海域风浪情况）。"
1018,何谓船舶主要要素确定船舶主要要素应满足哪些基本要求,船舶的排水量、主要尺度（船长、型宽、型深、吃水等）、船型系数（方形系数、棱形系数、水线面系数、中剖面系数等）、浮心位置、航速及主机功率、载重（货）量等统称为船舶的主要要素。
1019,简述确定载重型船舶主要要素的一般步骤和方法,answer示例
1020,民船空船重量由哪几部分组成？载重量由哪些重量组成？,钢料重量Wh、木作舾装重量Wf及机电设备重量Wm载重量包括货物、旅客及其行李、船员及其行李、燃油、滑油及炉水、食品、淡水、备品及供应品等重量
