id,question,answer
1,船舶的附加阻力包括,附体阻力、汹涛阻力和空气阻力
2,当船舶有纵倾和横倾时，平均吃水为,首中尾的平均吃水加漂心修正
3,船舶的重量性能包括？,排水量和载重量
4,船舶的总载重量等于船舶的满载排水量减去,空船重量
5,船体发生纵向弯曲变形和破坏是由于,总纵弯曲强度不足
6,船舶稳定平衡的主要特征是,稳心在重心之上，复原力矩大于零
7,船舶的载货能力包括,载货重量能力、载货容量能力及其它载货能力
8,船舶平浮在预定吃水的条件是什么,浮力等于重量；重力与浮力的作用线在同一铅垂线上
9,船的典型排水量与载况有几种？为什么说它们是典型的？,民船的典型排水量通常为空船排水量和满载排水量。货船有四种：满载出港、满载到港、空载出港、空载到港。
10,影响阻力估算准确性的因素有哪些？,"剩余阻力系数C,湿面积系数S和附体阻力。"
11,影响航速的因素有哪些,排水量。主尺度及船型系数。船体型线。动力装置。纵倾。潜水影响。污底。风及汹涛阻力
12,什么是船舶稳性？,船舶稳性是指受外力作用离开平衡位置而倾斜，当外力消除后能自行回复到原来平衡位置的能力。
13,船舶设计中的稳性问题包括那些方面？,有三方面：外力和内力，以及它们的计算方法稳性衡准，即判断船舶平安与否的一种度量影响稳性的因素分析，如何保证船舶有足够的稳性
14,在设计初始阶段初稳性不满足要求如何解决？,适当增加压在水数量调整各舱装载重量调整总布置调整B或BT
15,常用的船体型线的生成方法有哪几种？,优秀母型船改造。电子计算机生成型线。船模系列资料。
16,船舶航行时一般保持什么状态,尾倾状态
17,船舶的固定压载是指什么,固定压载是固定加在船上的载荷，通常采用生铁块、水泥块和矿渣块，一般在船下水前后放在船底部1固定压载的目的是降低船舶的重心以提高稳性；增加船舶重量以加大吃水；必要时用来调整船舶的浮态。
18,船舶纵倾调整有哪些措施,①改变双层底以上舱室的相互位置；②改变双层底以上舱室的相互位置：③适当移动机舱位置；④设置首部平衡空舱或深压载水舱；⑤改变浮心位置
