id,term,term_en,explanation
02.001,总布置,general arrangement,对全船的分舱、上层建筑、舱室、通道以及主要设备、装置等所作的全面规划和布置。
02.002,舱室布置,interior arrangement,又称“舱内布五”。对舱室内部的设备、装置和管系等所作的布置。
02.003,机舱布置,engine room arrangement,对机舱的主、辅机及其他设备﹑装置所作的布置。
02.004,梯道布置,stairway and passage way arrangernent,"为保证人.物在各层甲板及其.上、下之间能安全和顺利通行,对全船扶梯、通道所作的全面、统一的规划和布置。"
02.005,舱,compartment,"一般指主船体内部,由纵、横舱璧或其他构件分隔而成,供船上人员生活、工作或安置、存放、装载各种设备﹑物品、货物等的空间。"
02.006,舱室,space,船上一切围蔽空间的统称。
02.007,箱尖舱,fore peak,位于防撞舱壁以前的舱。
02.008,艉尖舱,afterpeak,位于昵部最后一道水密舱壁以后的舱。
02.009,底边舱,bottom side tank,"一般指散货船上,位于货舱底部两侧角隅处的舱。"
02.010,顶边舱,top side tank,"一般指散货船上,位于货舱顶部两侧角隅处的舱。"
02.011,边舱,wing tank,位于船侧的舱。
02.012,底舱,hold,最下层的舱。
02.013,双层底舱,double bottom tank,由内底板与船底外板构成的舱。
02.014,深舱,deep tank,"通常指舱的深度较深,用于储存液体的舱。"
02.015,甲板间舱,tweendeck space,通常指设置在两层甲板之间的舱。
02.016,空隔舱,cofferdam,"又称“隔离舱”。为避兔两个相邻舱所载的不同液体相互渗透或满足某些规范要求,而在其间设置的狭小隔离空间。"
02.017,罗经甲板,compass deck,在驾驶室顶上安装标准磁罗经的甲板。
02.018,驾驶甲板,navigation deck，bridge deck,布置有驾驶室的甲板。
02.019,艇甲板,boat deck,放置救生艇或工作锤及艇架的甲板。
02.020,游步甲板,promenade deck,为旅客散步提供较多活动面积的甲板。
02.021,起居甲板,accomnodation deck,主要布置起居舱室的甲板。
02.022,直升机甲板,helicopter deck,供直升机停故、起飞和降落的甲板。
02.023,上甲板,upper deck,从箭到艇的最上法连续甲板。
02.024,起货机平台,winch platform,安置起货机的平台。
02.025,通道,passage，alleyway,供人员通行或货物运输的过道。
02.026,内通道,interior alleyway,非敞露的通道。
02.027,外通道,exterior passage way,敞露的通道。
02.028,跳板,rarnp,联系船与码头的通道设备。
02.029,驾驶室,wheel house，navigation bridge,驾驶人员指挥和操纵船舶的舱室。
02.030,海图室,chart room,"设有海图桌和必要的航海仪器,进行海图作业和存放海图.航海日志以及有关航海资料的舱室。"
02.031,报务室,radio roorm,"安置无线电通信设备,进行对外通信联络的舱室。"
02.032,雷达室,radar room,安置并操作雷达发射和接收设备的舱室。
02.033,机舱,engine room,安置主机和辅机及其附属设备的舱。
02.034,机舱集控室,engine control room,安置主机和重要辅机的集中控制、测量和监视设备及必要的通信设施的舱室。
02.035,反应堆舱,reactor room,核动力船上安置核反应堆的舱。
02.036,锅炉舱,boiler room,安置锅炉及其附属设备的舱。
02.037,泵舱,pump room,安置泵的舱。
02.038,锚链舱,chain locker,储藏锚链的舱。
02.039,舵机舱,"steering engine room,steering gear room",安置舵机的舱。
02.040,通风机室,fan room,安置通风机及控制设备的舱室。
